Dataset,Total_time,LLaMA_parsing_time,Drain_parsing_time,Regex_parsing_time,GA,PA,Event_count
HDFS,1252.621494,273.66894299157536,867.361148,111.59140300842469,0.9999908665495436,0.9999866579988431,42
Hadoop,285.764546,268.80782699999514,11.946313,5.010406000005044,0.9625263204680182,0.8706449695265926,235
Spark,1752.401384,631.6588890909832,764.118017,356.6244779090174,0.8586315110490331,0.8886536875594747,251
Zookeeper,52.225842,47.057594000000364,4.752903,0.4153449999996238,0.9932411508892868,0.8498646883793572,76
BGL,1244.638468,857.8208619990826,298.226019,88.59158700091751,0.9023728094788871,0.9292985215041865,284
HPC,539.75625,510.9736660000006,27.4502,1.3323840000005813,0.8439933207438347,0.973003897783194,77
Thunderbird,8659.288199,5343.5619048654,1466.76919,1848.957104134576,0.8699342749813348,0.694009515264811,1240
Linux,216.02977,213.42282000000006,1.783843,0.8231069999999893,0.912002006605075,0.9017181555955018,321
HealthApp,103.327308,85.24824200000731,10.377294,7.70177199999113,0.8616768835277833,0.9735162010226277,142
Apache,18.924371,15.189703999999912,3.361737,0.3729300000000878,1.0,0.9959790680672592,29
Proxifier,871.518669,868.9877800000004,2.465132,0.06575699999999553,0.5100844277673546,0.8970450281425891,17
OpenSSH,89.374856,36.93785599999622,48.997889,3.439111000003761,0.8678419336815104,0.49552153778012886,34
OpenStack,377.635904,330.6581599999998,44.884591,2.0931529999978835,0.8113970871541959,0.8308112429683285,45
Mac,5935.76734,5922.185461999968,9.258288,4.323590000001628,0.8141136830352692,0.6538170145742369,653
